测试文本,应正确读出的文本
理财产品代码 JSYH23001，预期年化收益率 4.5%,理财产品代码JSYH二三零零幺预期年化收益率百分之四点五
依据《民法典》第 1079 条第 (三) 项,依据民法典第一千零七十九条第三项
给出一个10kΩ 电阻并联 4.7μF 电容的具体实例,给出一个十千欧姆电阻并联四点七微法拉电容的具体实例
浓度 0.1mol/L,浓度零点一摩尔每升
电路含 1MΩ 电阻串联 100nF 电容,电路含一兆欧姆电阻串联一百纳法拉电容
功率 1.5kW，能耗 3.6kWh,功率一点五千瓦能耗三点六千瓦时
样本均值 x̄=50，标准差 s=8,样本均值x等于五十标准差s等于八
患者 ICD1 编码 J18.9，诊断社区获得性肺炎,患者ICD一编码J一八点九诊断社区获得性肺炎
期货代码 CU2312，合约单位 5 吨,期货代码CU二三幺二合约单位五吨
医院CT 平扫示肝内 5mm 结节,医院CT平扫示肝内五毫米结节
她的B超甲状腺左侧叶有 3×2cm 囊实性结节,她的B超甲状腺左侧叶有三乘二厘米囊实性结节
患者体温 38.5℃，脉搏 92 次 / 分，呼吸 20 次 / 分,患者体温三十八点五摄氏度脉搏九十二次每分呼吸二十次每分
商标注册号第 35 类 1234567 号，有效期至 2033 年,商标注册号第三十五类幺二三四五六七号有效期至二零三三年
解x + y = 5， 2x - y = 1，问x等于几，y等于几,解x加y等于五二x减y等于一问x等于几y等于几
声速 v = 340m/s（25℃空气），频率 f = 440Hz 对应 A 音,声速v等于三百四十米每秒二十五摄氏度空气频率f等于四百四十赫兹对应A音
正弦信号频率 f = 50Hz,正弦信号频率f等于五十赫兹
限速区100km/h,限速区一百千米每小时
设计二阶巴特沃斯低通滤波器，截止频率 fc = 1kHz,设计二阶巴特沃斯低通滤波器截止频率fc等于一千赫兹
我的是USB 3.0 ，HDMI 2.1 支持 4K 120Hz,我的是USB三点零HDMI二点一支持四K一百二十赫兹
屏幕OLED 分辨率 128×64，刷新率 60Hz，接口 SPI,屏幕OLED分辨率一百二十八乘六十四刷新率六十赫兹接口SPI
用X 射线衍射仪分析晶体结构，扫描速率 2°/min,用X射线衍射仪分析晶体结构扫描速率两度每分钟
红移z=0.05,红移z等于零点零五
显示98.6 °F,显示九十八点六华氏度
电脑显示DNA片段ATGCCTAG,电脑显示DNA片段ATGCCTAG
电路板线宽 0.2mm，线距 0.2mm，过孔直径 0.8mm,电路板线宽零点二毫米线距零点二毫米过孔直径零点八毫米
轨距 1435 mm标准轨,轨距一千四百三十五毫米标准轨
防护ATP 300 km/h,防护ATP三百千米每小时
抗核抗体ANA阳性,抗核抗体ANA阳性
抗CCP抗体阳性,抗CCP抗体阳性
同型半胱氨酸Hcy 10 μmol/L,同型半胱氨酸Hcy十微摩尔每升
尿比重1.020,尿比重一点零二零
依据《反不正当竞争法》第6条第1项,依据反不正当竞争法第六条第一项
引用《票据法》第61条第2款,引用票据法第六十一条第二款
根据《政府采购法》第36条第1项,根据政府采购法第三十六条第一项
援引《精神卫生法》第30条,援引精神卫生法第三十条
屏幕60 Hz刷新,屏幕六十赫兹刷新
气泵0.8 m³/min排气,气泵零点八立方米每分钟排气
水池0.6 L/min流量,水池零点六升每分钟流量
运河7 m³/h扬程,运河七立方米每小时扬程
电线1.8 μm线距,电线一点八微米线距
当前空气45 °C露点,当前空气四十五摄氏度露点
房间60 °锥角,房间六十度锥角
芯片100 nm晶圆,芯片一百纳米晶圆
信道4 kHz带宽,信道四千赫兹带宽
创业板ETF159915,创业板ETF幺五九九幺五
日经225ETF513000,日经二百二十五ETF五幺三零零零
纳指100ETF159941,纳指一百ETF幺五九九四幺
恒生医药513060,恒生医药五幺三零六零
使用NH₄Cl缓冲体系,使用氯化铵缓冲体系
抗核抗体ANA 1:160,抗核抗体ANA一比一百六十
糖化白蛋白GA 15%,糖化白蛋白GA百分之十五
血清直接胆红素DBil 3 μmol/L,血清直接胆红素DBil三微摩尔每升
血清前白蛋白PA 250 mg/L,血清前白蛋白PA二百五十毫克每升
尿比重SG 1.025,尿比重SG一点零二五
尿pH 6.0,尿pH六点零
血清β2微球蛋白β2MG 1.2 mg/L,血清贝塔二微球蛋白贝塔二MG一点二毫克每升
参见文献[15]图4.3,参见文献第十五图四点三
比较表2(b)与表3(c),比较表二b与表三c
图2(h)虚线框,图二h虚线框
见附录Table S4,见附录TableS四
引自NCBI序列OR123456,引自NCBI序列OR一二三四五六
数据已存Fs:987654,数据已存Fs九八七六五四
详见补充文本S2.2,详见补充文本S二点二
晶振25 MHz ±10 ppm,晶振二十五兆赫兹正负十ppm
引力波频率f=450 Hz,引力波频率f等于四百五十赫兹
洛希极限2.4R,洛希极限二点四R
史瓦西半径Rs=2.95 km,史瓦西半径Rs等于二点九五千米
标准硬度洛氏HRC 60,标准硬度洛氏HRC六十
标准波长632.8 nm,标准波长六百三十二点八纳米
标准电阻100 Ω 0.01级,标准电阻一百欧姆零点零一级